onset_s,offset_s,pitch,strength_0_1,dur_ms
210.147689,212.658012,69,0.780,2510.3
210.298619,210.752692,69,0.520,454.1
210.752692,210.938452,69,0.669,185.8
210.938452,211.100991,69,0.717,162.5
211.100991,211.414461,69,0.780,313.5
211.286751,212.354869,74,0.598,1068.1
211.414461,211.925300,69,0.732,510.8
211.553780,211.704710,74,0.465,150.9
211.704710,211.936910,74,0.598,232.2
211.925300,212.192329,69,0.630,267.0
211.936910,212.134279,74,0.472,197.4
212.134279,212.354869,74,0.378,220.6
212.192329,212.658012,69,0.583,465.7
212.308429,212.494189,86,0.315,185.8
213.017922,214.086039,74,0.409,1068.1
213.041141,213.366221,69,0.402,325.1
213.447491,213.633250,74,0.354,185.8
213.575200,213.958330,69,0.378,383.1
213.633250,214.086039,74,0.394,452.8
214.853582,215.654670,69,0.591,801.1
214.853582,214.992902,74,0.409,139.3
215.062561,215.654670,69,0.425,592.1
215.979750,216.153899,69,0.346,174.1
216.502199,216.967882,69,0.638,465.7
216.502199,216.828562,74,0.394,326.4
216.666022,216.967882,69,0.622,301.9
218.919642,219.070571,69,0.622,150.9
219.163451,219.325991,72,0.496,162.5
219.465311,219.964540,74,0.622,499.2
219.697510,219.964540,74,0.512,267.0
219.999370,220.196739,73,0.394,197.4
219.999370,220.150299,85,0.205,150.9
220.196739,220.813352,74,0.614,616.6
220.301229,220.523102,86,0.441,221.9
220.394109,220.813352,74,0.465,419.2
223.055361,223.241121,74,0.394,185.8
