grid_index,time_s
1092,163.410000
1093,163.563333
1094,163.716667
1095,163.870000
1096,164.023333
1097,164.176667
1098,164.330000
1099,164.470000
1100,164.610000
1101,164.750000
1102,164.890000
1103,165.030000
1104,165.170000
1105,165.325000
1106,165.480000
1107,165.635000
1108,165.790000
1109,165.945000
1110,166.100000
1111,166.246667
1112,166.393333
1113,166.540000
1114,166.686667
1115,166.833333
1116,166.980000
1117,167.116667
1118,167.253333
1119,167.390000
1120,167.526667
1121,167.663333
1122,167.800000
1123,167.953333
1124,168.106667
1125,168.260000
1126,168.413333
1127,168.566667
1128,168.720000
1129,168.856667
1130,168.993333
1131,169.130000
1132,169.266667
1133,169.403333
1134,169.540000
1135,169.695000
1136,169.850000
1137,170.005000
1138,170.160000
1139,170.315000
1140,170.470000
1141,170.610000
1142,170.750000
1143,170.890000
1144,171.030000
1145,171.170000
1146,171.310000
1147,171.455000
1148,171.600000
1149,171.745000
1150,171.890000
1151,172.035000
1152,172.180000
1153,172.335000
1154,172.490000
1155,172.645000
1156,172.800000
1157,172.955000
1158,173.110000
1159,173.250000
1160,173.390000
1161,173.530000
1162,173.670000
1163,173.810000
1164,173.950000
1165,174.100000
1166,174.250000
1167,174.400000
1168,174.550000
1169,174.700000
1170,174.850000
1171,174.988333
1172,175.126667
1173,175.265000
1174,175.403333
1175,175.541667
1176,175.680000
1177,175.813333
1178,175.946667
1179,176.080000
1180,176.213333
1181,176.346667
1182,176.480000
1183,176.620000
1184,176.760000
1185,176.900000
1186,177.040000
1187,177.180000
1188,177.320000
1189,177.461667
1190,177.603333
1191,177.745000
1192,177.886667
1193,178.028333
1194,178.170000
1195,178.321667
1196,178.473333
1197,178.625000
1198,178.776667
1199,178.928333
1200,179.080000
1201,179.221667
1202,179.363333
1203,179.505000
1204,179.646667
1205,179.788333
1206,179.930000
1207,180.071667
1208,180.213333
1209,180.355000
1210,180.496667
1211,180.638333
1212,180.780000
1213,180.926667
1214,181.073333
1215,181.220000
1216,181.366667
1217,181.513333
1218,181.660000
1219,181.816667
1220,181.973333
1221,182.130000
1222,182.286667
1223,182.443333
1224,182.600000
1225,182.748333
1226,182.896667
1227,183.045000
1228,183.193333
1229,183.341667
1230,183.490000
1231,183.628333
1232,183.766667
1233,183.905000
1234,184.043333
1235,184.181667
1236,184.320000
1237,184.468333
1238,184.616667
1239,184.765000
1240,184.913333
1241,185.061667
1242,185.210000
1243,185.353333
1244,185.496667
1245,185.640000
1246,185.783333
1247,185.926667
1248,186.070000
1249,186.216667
1250,186.363333
1251,186.510000
1252,186.656667
1253,186.803333
1254,186.950000
1255,187.096667
1256,187.243333
1257,187.390000
1258,187.536667
1259,187.683333
1260,187.830000
1261,187.981667
1262,188.133333
1263,188.285000
1264,188.436667
1265,188.588333
1266,188.740000
1267,188.878333
1268,189.016667
1269,189.155000
1270,189.293333
1271,189.431667
1272,189.570000
1273,189.711667
1274,189.853333
1275,189.995000
1276,190.136667
1277,190.278333
1278,190.420000
1279,190.568333
1280,190.716667
1281,190.865000
1282,191.013333
1283,191.161667
1284,191.310000
1285,191.446667
1286,191.583333
1287,191.720000
1288,191.856667
1289,191.993333
1290,192.130000
1291,192.278333
1292,192.426667
1293,192.575000
1294,192.723333
1295,192.871667
1296,193.020000
1297,193.166667
1298,193.313333
1299,193.460000
1300,193.606667
1301,193.753333
1302,193.900000
1303,194.046667
1304,194.193333
1305,194.340000
1306,194.486667
1307,194.633333
1308,194.780000
1309,194.908333
1310,195.036667
1311,195.165000
1312,195.293333
1313,195.421667
1314,195.550000
1315,195.681667
1316,195.813333
1317,195.945000
1318,196.076667
1319,196.208333
1320,196.340000
1321,196.475000
1322,196.610000
1323,196.745000
1324,196.880000
1325,197.015000
1326,197.150000
1327,197.270000
1328,197.390000
1329,197.510000
1330,197.630000
1331,197.750000
1332,197.870000
1333,197.996667
1334,198.123333
1335,198.250000
1336,198.376667
1337,198.503333
1338,198.630000
1339,198.763333
1340,198.896667
1341,199.030000
1342,199.163333
1343,199.296667
1344,199.430000
1345,199.553333
1346,199.676667
1347,199.800000
1348,199.923333
1349,200.046667
1350,200.170000
1351,200.295000
1352,200.420000
1353,200.545000
1354,200.670000
1355,200.795000
1356,200.920000
1357,201.046667
1358,201.173333
1359,201.300000
1360,201.426667
1361,201.553333
1362,201.680000
1363,201.790000
1364,201.900000
1365,202.010000
1366,202.120000
1367,202.230000
1368,202.340000
1369,202.456667
1370,202.573333
1371,202.690000
1372,202.806667
1373,202.923333
1374,203.040000
1375,203.155000
1376,203.270000
1377,203.385000
1378,203.500000
1379,203.615000
1380,203.730000
1381,203.841667
1382,203.953333
1383,204.065000
1384,204.176667
1385,204.288333
1386,204.400000
1387,204.513333
1388,204.626667
1389,204.740000
1390,204.853333
1391,204.966667
1392,205.080000
1393,205.200000
1394,205.320000
1395,205.440000
1396,205.560000
1397,205.680000
1398,205.800000
1399,205.913333
1400,206.026667
1401,206.140000
1402,206.253333
1403,206.366667
1404,206.480000
1405,206.586667
1406,206.693333
1407,206.800000
1408,206.906667
1409,207.013333
1410,207.120000
1411,207.240000
1412,207.360000
1413,207.480000
1414,207.600000
1415,207.720000
1416,207.840000
1417,207.948333
1418,208.056667
1419,208.165000
1420,208.273333
1421,208.381667
1422,208.490000
1423,208.603333
1424,208.716667
1425,208.830000
1426,208.943333
1427,209.056667
1428,209.170000
1429,209.300000
1430,209.430000
1431,209.560000
1432,209.690000
1433,209.820000
1434,209.950000
1435,210.068333
1436,210.186667
1437,210.305000
1438,210.423333
1439,210.541667
1440,210.660000
1441,210.788333
1442,210.916667
1443,211.045000
1444,211.173333
1445,211.301667
1446,211.430000
1447,211.551667
1448,211.673333
1449,211.795000
1450,211.916667
1451,212.038333
1452,212.160000
1453,212.278333
1454,212.396667
1455,212.515000
1456,212.633333
1457,212.751667
1458,212.870000
1459,212.995000
1460,213.120000
1461,213.245000
1462,213.370000
1463,213.495000
1464,213.620000
1465,213.746667
1466,213.873333
1467,214.000000
1468,214.126667
1469,214.253333
1470,214.380000
1471,214.505000
1472,214.630000
1473,214.755000
1474,214.880000
1475,215.005000
1476,215.130000
1477,215.253333
1478,215.376667
1479,215.500000
1480,215.623333
1481,215.746667
1482,215.870000
1483,216.006667
1484,216.143333
1485,216.280000
1486,216.416667
1487,216.553333
1488,216.690000
1489,216.820000
1490,216.950000
1491,217.080000
1492,217.210000
1493,217.340000
1494,217.470000
1495,217.610000
1496,217.750000
1497,217.890000
1498,218.030000
1499,218.170000
1500,218.310000
1501,218.438333
1502,218.566667
1503,218.695000
1504,218.823333
1505,218.951667
1506,219.080000
1507,219.216667
1508,219.353333
1509,219.490000
1510,219.626667
1511,219.763333
1512,219.900000
1513,220.046667
1514,220.193333
1515,220.340000
1516,220.486667
1517,220.633333
1518,220.780000
1519,220.916667
1520,221.053333
1521,221.190000
1522,221.326667
1523,221.463333
1524,221.600000
1525,221.726667
1526,221.853333
1527,221.980000
1528,222.106667
1529,222.233333
1530,222.360000
1531,222.500000
1532,222.640000
1533,222.780000
1534,222.920000
1535,223.060000
1536,223.200000
1537,223.326667
1538,223.453333
1539,223.580000
1540,223.706667
1541,223.833333
1542,223.960000
