onset_s,offset_s,pitch,strength_0_1,dur_ms
72.898828,73.875350,34,0.685,976.5
72.956878,73.386447,81,0.417,429.6
73.026538,73.596711,53,0.346,570.2
73.467717,74.618389,74,0.512,1150.7
73.490937,73.689590,62,0.409,198.7
73.817300,74.003060,74,0.276,185.8
73.910180,75.536861,31,0.654,1626.7
73.991450,74.606779,50,0.386,615.3
74.003060,74.618389,74,0.417,615.3
74.095940,74.444239,62,0.291,348.3
74.304919,74.606779,50,0.315,301.9
74.676439,75.198888,82,0.457,522.4
74.931858,75.117618,70,0.299,185.8
75.175668,75.536861,50,0.457,361.2
75.187278,75.373037,62,0.331,185.8
75.187278,75.490421,69,0.346,303.1
75.198888,76.593369,81,0.417,1394.5
75.745840,76.140580,26,0.520,394.7
76.047700,76.512099,69,0.520,464.4
76.279899,76.593369,81,0.370,313.5
76.337949,76.999718,26,0.559,661.8
76.721078,77.115818,69,0.535,394.7
76.906838,77.115818,69,0.535,209.0
77.243527,77.440897,26,0.402,197.4
77.359627,77.523451,81,0.299,163.8
77.417677,77.639551,69,0.551,221.9
77.744040,78.324539,26,0.472,580.5
77.778870,78.022680,45,0.291,243.8
77.813700,78.057510,69,0.535,243.8
78.278099,78.672839,69,0.449,394.7
78.545129,78.719278,26,0.425,174.1
79.183678,79.357827,38,0.283,174.1
79.579701,79.719020,38,0.378,139.3
79.602921,81.635951,26,0.480,2033.0
81.786880,82.262889,38,0.417,476.0
82.727288,82.913048,62,0.299,185.8
82.750508,83.400667,38,0.441,650.2
82.831778,85.282767,26,0.614,2451.0
82.889828,83.075588,38,0.441,185.8
83.075588,83.400667,38,0.425,325.1
83.435497,83.622541,69,0.457,187.0
83.506441,83.703810,38,0.409,197.4
83.773470,84.028890,62,0.614,255.4
84.040500,85.004128,60,0.575,963.6
84.249479,84.783538,60,0.575,534.1
84.783538,85.004128,60,0.551,220.6
84.934468,86.398609,62,0.646,1464.1
85.189888,85.434981,62,0.646,245.1
85.434981,85.922600,62,0.551,487.6
85.922600,86.166410,62,0.480,243.8
86.073530,86.294119,50,0.323,220.6
86.154800,87.130038,38,0.480,975.2
86.166410,86.398609,62,0.402,232.2
86.224459,88.721888,26,0.559,2497.4
86.328949,86.909448,38,0.480,580.5
86.607589,86.839788,62,0.323,232.2
86.932668,87.130038,38,0.346,197.4
87.013938,87.315797,50,0.354,301.9
