time,frequency,confidence
4.810,36.172,0.835537
4.820,36.214,0.839407
4.830,36.093,0.771557
4.840,35.983,0.809961
4.850,36.015,0.729174
4.860,36.207,0.828061
4.870,36.246,0.899988
4.880,36.151,0.806057
4.890,36.340,0.847746
4.900,36.328,0.914962
4.910,36.360,0.816230
4.920,36.464,0.858174
4.930,36.396,0.873044
4.940,36.529,0.796786
4.950,36.554,0.867068
4.960,36.350,0.814445
4.970,36.463,0.818203
4.980,36.460,0.891511
4.990,36.321,0.835222
5.000,36.483,0.873741
5.010,36.347,0.901915
5.020,36.378,0.856896
5.030,36.448,0.896655
5.040,36.220,0.886635
5.050,36.346,0.870154
5.060,36.407,0.911603
5.070,36.319,0.898077
5.080,36.445,0.887013
5.090,36.446,0.929227
5.100,36.348,0.893288
5.110,36.471,0.901214
5.120,36.411,0.925460
5.130,36.405,0.901583
5.140,36.477,0.921935
5.150,36.364,0.901990
5.160,36.525,0.864224
5.170,36.582,0.930659
5.180,36.462,0.904697
5.190,36.559,0.879359
5.200,36.570,0.915265
5.210,36.592,0.904087
5.220,36.694,0.901466
5.230,36.684,0.886425
5.240,36.838,0.827651
5.250,36.838,0.900884
5.260,36.624,0.902539
5.270,36.669,0.867548
5.280,36.841,0.864840
5.290,36.886,0.840050
5.300,36.849,0.800653
5.310,36.985,0.790609
5.320,36.989,0.757541
5.330,36.918,0.756607
5.340,36.746,0.838069
5.350,36.666,0.870766
5.360,36.810,0.826950
5.370,36.730,0.864645
5.380,36.696,0.867915
5.390,36.950,0.796786
5.400,36.697,0.908556
5.410,36.608,0.900504
5.420,36.667,0.886351
5.430,36.709,0.897853
5.440,36.637,0.911314
5.450,36.646,0.915960
5.460,36.753,0.904622
5.470,36.624,0.899047
5.480,36.611,0.903522
5.490,36.582,0.914745
5.500,36.540,0.906516
5.510,36.529,0.897347
5.520,36.422,0.905660
5.530,36.422,0.929217
5.540,36.414,0.920974
5.550,36.407,0.911818
5.560,36.419,0.927074
5.570,36.536,0.922161
5.580,36.518,0.930528
5.590,36.392,0.937547
5.600,36.452,0.927105
5.610,36.567,0.937023
5.620,36.595,0.936838
5.630,36.576,0.938255
5.640,36.616,0.954833
5.650,36.619,0.939020
5.660,36.660,0.937258
