time,frequency,confidence
6.460,148.854,0.690281
6.470,148.710,0.567381
6.480,146.721,0.564553
6.490,147.231,0.553371
6.500,146.322,0.656306
6.510,146.813,0.739895
6.520,148.542,0.662872
6.530,148.661,0.627064
6.540,148.487,0.662084
6.550,148.135,0.695188
6.560,147.460,0.743494
6.570,147.336,0.797357
6.580,147.088,0.812904
6.590,146.778,0.816903
6.600,147.705,0.860823
6.610,148.690,0.846300
6.620,149.004,0.796484
6.630,148.774,0.785884
6.640,148.287,0.789384
6.650,147.685,0.827894
6.660,148.187,0.765545
6.670,149.642,0.705398
6.680,149.450,0.633482
6.690,147.681,0.534893
6.700,147.915,0.456909
6.710,147.545,0.580942
6.720,147.353,0.487582
6.730,147.857,0.578213
6.740,147.248,0.591726
6.750,148.809,0.573769
6.760,147.590,0.298982
6.770,146.107,0.434571
6.780,148.674,0.424597
6.790,147.674,0.307053
6.800,149.738,0.439015
6.810,148.615,0.488991
6.820,147.573,0.411546
6.830,148.488,0.450371
6.840,147.201,0.496470
6.850,146.204,0.621279
6.860,146.336,0.740179
6.870,145.659,0.698379
6.880,146.174,0.679431
6.890,147.431,0.547733
6.900,36.473,0.703779
6.910,35.905,0.106243
6.920,145.591,0.099404
6.930,141.499,0.061451
6.940,274.102,0.265008
6.950,291.708,0.441808
6.960,294.937,0.267653
6.970,369.668,0.105855
6.980,365.438,0.268569
6.990,51.936,0.131836
7.000,262.254,0.096437
7.010,43.590,0.196967
7.020,43.547,0.098708
7.030,43.699,0.138699
7.040,357.570,0.074601
7.050,43.279,0.111533
7.060,357.795,0.164799
7.070,357.663,0.151601
7.080,43.514,0.285728
7.090,43.243,0.492539
7.100,43.466,0.630517
7.110,43.562,0.672119
7.120,43.489,0.872139
7.130,43.606,0.881304
7.140,43.728,0.872927
7.150,43.584,0.886441
7.160,43.385,0.925321
7.170,43.191,0.853407
7.180,42.997,0.622151
7.190,42.963,0.604561
7.200,43.304,0.333642
7.210,294.609,0.386769
7.220,293.264,0.171820
7.230,175.551,0.094277
7.240,174.804,0.164830
7.250,43.566,0.073224
7.260,43.843,0.122417
7.270,285.655,0.127253
7.280,286.716,0.120839
7.290,575.500,0.262037
7.300,574.047,0.244889
7.310,577.589,0.169553
7.320,579.362,0.077853
7.330,1887.794,0.079141
7.340,1894.758,0.135949
7.350,1914.847,0.063869
7.360,1882.137,0.043445
7.370,1182.714,0.047447
7.380,1847.293,0.128684
7.390,1844.375,0.190592
7.400,1868.779,0.276886
7.410,1713.093,0.220565
7.420,1836.447,0.242676
7.430,1819.687,0.238854
7.440,1831.172,0.144069
7.450,1787.951,0.096340
7.460,1678.954,0.142775
7.470,1663.049,0.165871
7.480,1668.382,0.078939
7.490,1240.511,0.056748
7.500,1230.229,0.064352
7.510,1235.382,0.189614
7.520,1252.287,0.104020
7.530,133.290,0.116201
7.540,345.395,0.323873
7.550,339.851,0.240677
7.560,32.440,0.084622
7.570,32.687,0.208910
7.580,1398.847,0.166297
7.590,337.905,0.205062
7.600,349.736,0.156401
7.610,243.295,0.141122
7.620,309.760,0.314517
7.630,304.652,0.350848
7.640,307.186,0.254037
7.650,1543.952,0.110533
7.660,138.723,0.113026
7.670,408.903,0.284484
7.680,404.596,0.177292
7.690,410.372,0.126136
7.700,320.517,0.241644
7.710,454.850,0.231511
7.720,155.804,0.311001
7.730,458.079,0.427043
7.740,460.833,0.477550
7.750,156.097,0.436336
7.760,463.389,0.262722
7.770,458.053,0.154737
7.780,161.555,0.161008
7.790,361.860,0.288017
7.800,364.417,0.566078
7.810,367.614,0.461589
7.820,45.880,0.448872
7.830,279.717,0.477339
7.840,282.509,0.688022
7.850,286.469,0.905737
7.860,288.796,0.944214
7.870,291.249,0.945804
7.880,292.601,0.931519
7.890,293.411,0.949087
7.900,293.786,0.959196
7.910,294.055,0.964991
7.920,293.982,0.963548
7.930,293.538,0.949762
7.940,293.480,0.947359
7.950,293.504,0.952466
7.960,293.687,0.958370
7.970,293.825,0.964944
7.980,293.973,0.964774
7.990,294.346,0.968005
8.000,294.523,0.971568
8.010,294.182,0.967288
8.020,293.321,0.941874
8.030,291.895,0.947550
8.040,291.207,0.941778
8.050,291.147,0.939006
8.060,291.768,0.947606
8.070,292.382,0.941964
8.080,293.279,0.946682
8.090,294.330,0.968176
8.100,295.285,0.970116
8.110,295.461,0.970145
8.120,294.490,0.972233
8.130,292.617,0.931680
8.140,290.176,0.925145
8.150,287.275,0.844060
8.160,282.282,0.648504
8.170,275.756,0.682308
8.180,268.852,0.413547
8.190,250.815,0.490345
8.200,245.800,0.459544
8.210,241.064,0.343433
8.220,292.644,0.422364
8.230,292.705,0.781661
8.240,292.086,0.847852
8.250,292.071,0.848838
8.260,291.364,0.855718
8.270,291.502,0.844786
8.280,290.878,0.841154
8.290,292.199,0.645174
8.300,399.929,0.522980
8.310,404.819,0.672544
8.320,409.751,0.823651
8.330,410.974,0.924689
8.340,411.569,0.935650
8.350,404.103,0.782871
8.360,395.666,0.891526
8.370,392.194,0.925090
8.380,390.426,0.927072
8.390,390.201,0.906816
8.400,391.192,0.847627
8.410,394.104,0.894973
8.420,398.587,0.863939
8.430,405.089,0.692929
8.440,417.368,0.618236
8.450,430.239,0.793633
8.460,435.985,0.885849
8.470,439.160,0.832804
8.480,440.856,0.855423
8.490,440.183,0.901474
8.500,438.536,0.880926
8.510,436.936,0.919279
8.520,435.586,0.935387
8.530,435.453,0.935653
8.540,436.282,0.937790
8.550,437.982,0.900454
8.560,440.094,0.905941
8.570,441.615,0.912732
8.580,443.007,0.903208
8.590,443.168,0.911101
8.600,442.506,0.940547
8.610,441.154,0.956646
8.620,439.990,0.957107
8.630,439.980,0.946705
8.640,439.948,0.951346
8.650,440.182,0.946551
8.660,440.465,0.955959
8.670,441.267,0.962863
8.680,442.384,0.962981
8.690,443.492,0.952243
8.700,443.931,0.940441
8.710,443.457,0.941136
8.720,442.413,0.954917
8.730,441.777,0.947422
8.740,441.148,0.940830
8.750,440.735,0.940653
8.760,440.521,0.937677
8.770,438.946,0.880919
8.780,436.195,0.808472
8.790,433.522,0.760417
8.800,434.703,0.792675
8.810,436.890,0.863482
8.820,438.739,0.872196
8.830,441.593,0.878716
8.840,443.326,0.767052
8.850,448.319,0.517434
8.860,457.104,0.349792
8.870,441.177,0.413825
8.880,439.110,0.556190
8.890,438.997,0.699256
8.900,439.202,0.704425
8.910,440.460,0.594313
8.920,440.934,0.485566
8.930,442.164,0.262166
8.940,293.795,0.306196
8.950,295.038,0.557543
8.960,295.878,0.527870
8.970,295.911,0.491719
8.980,295.279,0.379965
8.990,440.935,0.263391
9.000,442.109,0.274892
9.010,441.085,0.347012
9.020,442.030,0.476432
9.030,443.137,0.411504
9.040,442.376,0.326243
9.050,441.431,0.187440
9.060,275.791,0.180134
9.070,400.188,0.216594
9.080,400.408,0.153370
9.090,441.297,0.151626
9.100,482.577,0.207295
9.110,396.197,0.171861
9.120,393.081,0.229138
9.130,323.682,0.185915
9.140,297.095,0.114896
9.150,290.265,0.066556
9.160,264.167,0.083178
9.170,1775.258,0.074608
9.180,253.626,0.503032
9.190,264.649,0.473773
9.200,275.933,0.455039
9.210,282.746,0.541377
9.220,287.324,0.797743
9.230,292.169,0.893556
9.240,295.230,0.951809
9.250,295.978,0.942144
9.260,295.444,0.957173
9.270,293.977,0.952115
9.280,292.795,0.927239
9.290,292.612,0.931604
9.300,293.170,0.915311
9.310,293.773,0.940847
9.320,293.167,0.886028
9.330,291.961,0.815696
9.340,290.877,0.583187
9.350,296.226,0.426431
9.360,297.371,0.520746
9.370,295.529,0.314379
9.380,279.942,0.488950
9.390,280.650,0.536494
9.400,282.679,0.572971
9.410,289.076,0.651190
9.420,291.900,0.810068
9.430,293.457,0.873250
9.440,294.308,0.915873
9.450,294.593,0.911056
9.460,294.292,0.889320
9.470,294.308,0.873904
9.480,293.745,0.852206
9.490,294.217,0.847685
9.500,294.420,0.803400
